time(UTC),ID,lat,lon,depth[m_local],east_shift[m_local],north_shift[m_local],magnitude,P_residual[s],S_residual[s],n_pairs,ndiff_p,ndiff_s
2024-04-03T17:47:29.411,1,38.50136,-112.88286,2427.85,1006.43,-200.84,-0.93,0.08,0.08,2879,8996,28539
2024-04-03T17:47:40.372,2,38.50005,-112.88379,2498.85,924.98,-346.69,-0.49,0.1,0.08,2893,11025,32361
2024-04-03T17:50:35.034,3,38.49988,-112.88379,2508.85,924.94,-365.61,-0.68,0.24,0.08,2875,12607,28642
2024-04-03T17:52:17.349,4,38.5009,-112.88306,2428.85,988.88,-252.07,-0.75,0.11,0.08,2832,8015,29574
2024-04-03T17:53:08.477,5,38.50002,-112.88379,2498.85,924.97,-350.03,-0.33,0.1,0.08,2877,10237,32885
2024-04-03T17:54:56.379,6,38.50118,-112.88301,2402.85,993.31,-220.89,-0.9,0.1,0.08,2852,7994,30429
2024-04-03T18:02:10.812,7,38.50008,-112.88379,2498.85,924.99,-343.35,-0.68,0.11,0.08,2877,9368,31128
2024-04-03T18:02:17.251,8,38.50001,-112.88379,2501.85,924.97,-351.14,-0.91,0.1,0.07,2862,11312,24258
2024-04-03T18:06:27.783,9,38.49989,-112.8839,2459.85,915.34,-364.49,-0.79,0.1,0.08,2910,10131,27739
2024-04-03T18:12:09.597,10,38.50128,-112.88293,2402.85,1000.31,-209.75,-0.7,0.08,0.08,2869,8472,31161
2024-04-03T18:14:22.006,11,38.5009,-112.88306,2428.85,988.88,-252.07,-0.95,0.13,0.08,2830,6936,29329
2024-04-03T18:15:39.708,12,38.49989,-112.8839,2466.85,915.34,-364.49,-0.21,0.1,0.08,2956,11921,29423
2024-04-03T18:16:56.938,13,38.49999,-112.88379,2498.85,924.97,-353.36,-0.55,0.1,0.08,2877,11223,29382
2024-04-03T18:24:10.239,14,38.50076,-112.883,2383.85,994.09,-267.66,-0.56,0.09,0.08,2926,9720,32198
2024-04-03T18:25:36.255,15,38.50084,-112.883,2390.85,994.11,-258.75,-0.84,0.09,0.08,2892,8930,31920
2024-04-03T18:27:10.413,16,38.4998,-112.88401,2465.85,905.72,-374.5,-0.93,0.11,0.08,2898,9264,27764
2024-04-03T18:29:32.450,17,38.50147,-112.88397,2424.85,909.6,-188.59,-0.99,0.09,0.42,2760,4092,25819
2024-04-03T18:33:20.472,18,38.49995,-112.88394,2468.85,911.86,-357.81,-0.79,0.13,0.08,2840,7871,27851
2024-04-03T18:35:33.750,19,38.49989,-112.8839,2463.85,915.34,-364.49,-0.73,0.1,0.08,2900,10276,27282
2024-04-03T18:36:40.369,20,38.50076,-112.883,2383.85,994.09,-267.66,-0.52,0.09,0.08,2928,9754,33422
2024-04-03T18:37:11.727,21,38.49999,-112.88379,2498.85,924.97,-353.36,-0.52,0.12,0.08,2880,11913,30674
2024-04-03T18:37:57.477,22,38.49996,-112.88412,2392.85,896.16,-356.69,-0.97,0.18,0.32,2901,10468,25677
2024-04-03T18:39:11.755,23,38.50173,-112.88299,2440.85,995.15,-159.62,-0.76,0.1,0.08,2906,8202,32101
2024-04-03T18:41:12.909,24,38.50114,-112.88308,2374.85,987.19,-225.34,-0.35,0.09,0.07,2896,12821,31523
